Adj Close,Close,Date,High,Low,Open,Volume
209.857025,215.009995,2017-06-01,215.929993,210.789993,212.610001,4057900
208.197784,213.309998,2017-06-02,215.210007,211.910004,212.940002,3692000
208.861465,213.990005,2017-06-05,215.809998,212.679993,213.080002,2696600
209.388519,214.529999,2017-06-06,216.020004,212.479996,212.509995,2891300
210.608566,215.779999,2017-06-07,217.229996,214.309998,215.369995,2679400
213.517166,218.759995,2017-06-08,221.0,214.630005,215.779999,3752400
217.108948,222.440002,2017-06-09,223.850006,219.75,220.830002,4455400
216.591644,221.910004,2017-06-12,225.229996,221.910004,223.630005,3388200
218.826797,224.199997,2017-06-13,226.800003,222.770004,223.350006,2767800
221.08139,226.509995,2017-06-14,226.940002,221.759995,222.990005,3652900
217.88002,223.229996,2017-06-15,226.350006,222.800003,224.809998,3378900
216.494064,221.809998,2017-06-16,223.669998,221.130005,222.649994,3758300
220.71051,226.130005,2017-06-19,227.039993,223.110001,223.429993,2900900
219.705215,225.100006,2017-06-20,226.539993,224.190002,225.509995,2264200
217.157761,222.490005,2017-06-21,224.929993,221.929993,224.539993,3015300
214.502945,219.770004,2017-06-22,221.899994,219.289993,221.440002,3344600
211.984787,217.190002,2017-06-23,220.690002,216.460007,220.5,4448700
215.156891,220.440002,2017-06-26,221.970001,217.699997,218.259995,2589500
215.000717,220.279999,2017-06-27,222.410004,219.559998,221.839996,2899400
217.870285,223.220001,2017-06-28,224.630005,220.75,221.869995,3482800
219.031738,224.410004,2017-06-29,228.789993,223.029999,228.369995,5063400
216.581894,221.899994,2017-06-30,226.050003,221.539993,225.309998,3154300
221.832962,227.279999,2017-07-03,229.070007,223.419998,224.460007,2846600
222.574738,228.039993,2017-07-05,228.919998,225.210007,228.380005,2772000
221.25708,226.690002,2017-07-06,230.059998,225.25,227.970001,3076600
219.88089,225.279999,2017-07-07,228.490005,224.419998,228.229996,2697600
220.42746,225.839996,2017-07-10,227.339996,223.960007,224.270004,2357500
221.510864,226.949997,2017-07-11,227.949997,224.669998,226.039993,2742900
221.940353,227.389999,2017-07-12,229.020004,226.070007,226.399994,2567300
224.878174,230.399994,2017-07-13,230.639999,226.949997,227.389999,2852600
223.121338,228.600006,2017-07-14,229.610001,225.100006,227.220001,3703600
223.765518,229.259995,2017-07-17,229.639999,227.210007,228.729996,2551800
217.958099,223.309998,2017-07-18,230.360001,222.759995,227.5,6400700
217.528641,222.869995,2017-07-19,224.199997,221.669998,222.910004,4884600
216.972321,222.300003,2017-07-20,224.759995,221.610001,223.0,3497800
214.903122,220.179993,2017-07-21,222.309998,219.089996,221.889999,3446600
212.951065,218.179993,2017-07-24,219.729996,218.0,218.940002,3123100
216.269592,221.580002,2017-07-25,222.869995,220.179993,220.339996,3509500
216.923508,222.25,2017-07-26,223.740005,221.869995,222.449997,2792500
216.171967,221.479996,2017-07-27,222.710007,220.429993,221.839996,2812500
218.250931,223.610001,2017-07-28,223.669998,220.860001,221.770004,2483200
219.929703,225.330002,2017-07-31,225.5,223.050003,223.949997,1994900
221.559662,227.0,2017-08-01,228.619995,226.729996,227.089996,2986800
220.847183,226.270004,2017-08-02,227.729996,225.570007,226.399994,1863300
218.621826,223.990005,2017-08-03,226.740005,223.970001,226.0,2106400
224.282806,229.789993,2017-08-04,229.789993,225.059998,226.050003,3400300
227.337799,232.919998,2017-08-07,233.130005,229.289993,229.800003,3809800
226.488663,232.050003,2017-08-08,235.830002,231.699997,232.399994,3322500
225.473587,231.009995,2017-08-09,231.490005,229.059998,230.320007,2571100
220.095627,225.5,2017-08-10,229.449997,225.470001,229.020004,3325500
218.777969,224.149994,2017-08-11,226.679993,222.649994,225.070007,2956600
221.911041,227.360001,2017-08-14,229.830002,226.300003,226.369995,2255500
222.135529,227.589996,2017-08-15,230.610001,227.5,229.570007,1867000
220.202988,225.610001,2017-08-16,229.009995,225.0,228.259995,2393900
216.113403,221.419998,2017-08-17,225.979996,221.110001,224.380005,3460300
216.825928,222.149994,2017-08-18,224.089996,220.550003,220.789993,3149300
215.49852,220.789993,2017-08-21,222.399994,219.210007,222.399994,2203300
218.221634,223.580002,2017-08-22,223.779999,221.330002,221.860001,2021300
217.401779,222.740005,2017-08-23,224.809998,221.330002,221.899994,2568000
217.645782,222.990005,2017-08-24,224.570007,222.589996,223.770004,2263000
217.138245,222.470001,2017-08-25,224.949997,222.130005,223.639999,2232500
215.069046,220.350006,2017-08-28,223.089996,218.860001,222.910004,2641600
215.421631,219.960007,2017-08-29,220.130005,215.75,217.270004,2369100
217.830856,222.419998,2017-08-30,224.220001,220.089996,220.25,2411400
219.123642,223.740005,2017-08-31,224.490005,222.580002,223.25,2240600
221.219467,225.880005,2017-09-01,227.559998,223.529999,224.550003,2346900
213.286606,217.779999,2017-09-05,224.0,217.300003,223.850006,5646200
214.314941,218.830002,2017-09-06,221.020004,217.610001,218.979996,3613600
211.386627,215.839996,2017-09-07,218.809998,214.639999,218.729996,3594600
212.728378,217.210007,2017-09-08,219.279999,215.399994,215.509995,3120900
216.498917,221.059998,2017-09-11,221.889999,218.990005,220.070007,2971500
221.288025,225.949997,2017-09-12,227.690002,222.020004,222.539993,3745800
221.885437,226.559998,2017-09-13,227.139999,224.720001,225.25,2383500
222.169464,226.850006,2017-09-14,228.100006,226.050003,226.100006,1986600
220.57309,225.220001,2017-09-15,227.210007,223.820007,227.149994,4365800
222.835434,227.529999,2017-09-18,229.0,225.660004,226.300003,2466800
224.186966,228.910004,2017-09-19,230.139999,227.330002,228.009995,1858000
225.048782,229.789993,2017-09-20,231.649994,228.5,229.5,2682300
226.517853,231.289993,2017-09-21,232.100006,229.399994,229.889999,1800800
226.263199,231.029999,2017-09-22,231.490005,228.880005,230.639999,1861800
225.509079,230.259995,2017-09-25,231.860001,228.360001,230.770004,2261800
225.195709,229.940002,2017-09-26,231.440002,229.029999,230.860001,1770000
229.916245,234.759995,2017-09-27,235.600006,232.910004,234.070007,3072100
