Adj Close,Close,Date,High,Low,Open,Volume
51.236244,52.299999,2017-06-01,53.299999,52.209999,53.060001,13352100
51.902412,52.98,2017-06-02,53.009998,52.360001,52.700001,18511200
51.931805,53.009998,2017-06-05,53.23,52.700001,53.0,5748900
51.412586,52.48,2017-06-06,53.099998,52.43,52.900002,8923000
52.147327,53.23,2017-06-07,53.360001,52.75,52.790001,7438300
52.117947,53.200001,2017-06-08,54.139999,53.150002,53.23,7785600
52.372654,53.459999,2017-06-09,53.470001,52.799999,53.200001,8347400
52.931057,54.029999,2017-06-12,54.25,53.5,53.509998,9180000
53.205368,54.310001,2017-06-13,54.66,53.84,54.029999,8720100
53.548248,54.66,2017-06-14,54.669998,53.950001,54.48,6783900
51.824043,52.900002,2017-06-15,54.049999,52.73,54.0,16041100
50.060654,51.099998,2017-06-16,51.84,50.790001,51.75,25725500
50.961945,52.02,2017-06-19,52.220001,51.400002,51.419998,11265300
50.511303,51.560001,2017-06-20,52.130001,51.099998,52.049999,10676500
51.520351,52.59,2017-06-21,52.689999,51.900002,51.900002,13021700
51.334217,52.400002,2017-06-22,52.619999,52.09,52.599998,10660700
51.775059,52.849998,2017-06-23,52.919998,51.669998,52.150002,8522400
52.196308,53.279999,2017-06-26,53.57,52.669998,52.950001,7966200
51.873028,52.950001,2017-06-27,53.259998,52.639999,53.189999,7873100
52.274685,53.360001,2017-06-28,53.610001,52.959999,53.169998,7527200
52.088551,53.169998,2017-06-29,53.630001,52.990002,53.330002,14801900
57.799976,59.0,2017-06-30,59.709999,56.5,56.599998,46553000
57.457092,58.650002,2017-07-03,59.009998,58.330002,58.369999,9910000
56.389267,57.560001,2017-07-05,58.290001,57.509998,58.240002,16167000
55.997398,57.16,2017-07-06,57.720001,57.0,57.450001,9035700
56.800724,57.98,2017-07-07,58.080002,57.029999,57.400002,8145400
57.535461,58.73,2017-07-10,58.810001,57.68,57.889999,8942400
56.996655,58.18,2017-07-11,58.93,58.040001,58.540001,7223000
57.035839,58.220001,2017-07-12,58.75,58.099998,58.310001,7243100
56.761528,57.939999,2017-07-13,58.580002,57.93,58.220001,8108600
56.820313,58.0,2017-07-14,58.209999,57.639999,57.950001,6345300
56.61459,57.790001,2017-07-17,58.349998,57.759998,58.0,6885000
56.477436,57.650002,2017-07-18,58.080002,57.470001,57.740002,4922500
56.594994,57.77,2017-07-19,57.880001,57.389999,57.599998,4451100
57.897942,59.099998,2017-07-20,59.59,58.799999,59.119999,11915500
58.730652,59.950001,2017-07-21,60.0,58.91,59.0,11048300
57.750992,58.950001,2017-07-24,59.77,58.759998,59.689999,7498900
58.182041,59.389999,2017-07-25,59.52,58.919998,59.32,5157100
57.172989,58.360001,2017-07-26,59.130001,58.32,59.09,5529500
56.967262,58.150002,2017-07-27,58.68,57.990002,58.599998,8259900
57.476685,58.669998,2017-07-28,58.740002,57.970001,58.150002,5112800
57.848957,59.049999,2017-07-31,59.119999,58.330002,58.709999,6225900
58.62289,59.84,2017-08-01,59.939999,58.900002,59.0,9051700
58.573906,59.790001,2017-08-02,59.950001,59.27,59.549999,4468100
58.916786,60.139999,2017-08-03,60.529999,59.639999,59.799999,5677200
58.544514,59.759998,2017-08-04,60.34,59.630001,60.169998,4106000
