Adj Close,Close,Date,High,Low,Open,Volume
21.34,21.34,2017-06-01,21.450001,21.190001,21.32,7146500
21.09,21.09,2017-06-02,21.450001,21.0,21.34,9595400
20.209999,20.209999,2017-06-05,20.889999,20.139999,20.52,15225100
20.360001,20.360001,2017-06-06,20.440001,20.129999,20.219999,6666400
19.559999,19.559999,2017-06-07,20.489,19.450001,20.370001,16977000
18.85,18.85,2017-06-08,19.4,18.18,19.4,32281200
18.08,18.08,2017-06-09,18.459999,17.879999,18.41,31118900
18.200001,18.200001,2017-06-12,18.200001,17.559999,18.049999,16172900
18.1,18.1,2017-06-13,18.58,18.08,18.379999,11899200
17.879999,17.879999,2017-06-14,18.290001,17.76,18.25,9455200
17.0,17.0,2017-06-15,17.75,17.0,17.719999,22971200
17.540001,17.540001,2017-06-16,17.879999,17.0,17.139999,18955700
17.879999,17.879999,2017-06-19,18.34,17.030001,17.85,28862700
17.309999,17.309999,2017-06-20,17.889999,17.23,17.82,13961000
17.27,17.27,2017-06-21,17.43,17.129999,17.27,8711500
17.639999,17.639999,2017-06-22,17.799999,17.209999,17.450001,9873500
17.540001,17.540001,2017-06-23,17.82,17.469999,17.82,7083600
17.290001,17.290001,2017-06-26,17.73,17.23,17.700001,9873300
17.34,17.34,2017-06-27,17.48,17.200001,17.209999,7718600
17.76,17.76,2017-06-28,17.780001,17.33,17.34,10457000
17.889999,17.889999,2017-06-29,18.129999,17.67,17.690001,12193900
17.77,17.77,2017-06-30,18.08,17.620001,18.030001,5993800
17.59,17.59,2017-07-03,17.92,17.450001,17.91,3285700
17.32,17.32,2017-07-05,17.59,17.219999,17.57,6042600
17.309999,17.309999,2017-07-06,17.379999,17.235001,17.25,6191800
17.18,17.18,2017-07-07,17.379999,17.15,17.33,4546700
16.99,16.99,2017-07-10,17.209999,16.950001,17.16,8566600
15.47,15.47,2017-07-11,16.360001,15.44,16.33,41936300
15.24,15.24,2017-07-12,15.75,15.21,15.54,19528400
15.69,15.69,2017-07-13,15.97,15.56,15.78,21598400
15.27,15.27,2017-07-14,15.59,15.265,15.44,14645600
15.13,15.13,2017-07-17,15.43,15.12,15.3,13289600
14.73,14.73,2017-07-18,15.25,14.63,15.17,19934000
14.97,14.97,2017-07-19,15.24,14.8,14.86,14394600
14.89,14.89,2017-07-20,15.14,14.72,15.05,11870200
14.48,14.48,2017-07-21,14.84,14.34,14.8,14252700
14.08,14.08,2017-07-24,14.48,14.02,14.45,14763800
13.89,13.89,2017-07-25,14.11,13.65,14.06,15148900
13.4,13.4,2017-07-26,13.82,13.4,13.74,21614400
14.0,14.0,2017-07-27,14.1,13.14,13.15,27167900
13.81,13.81,2017-07-28,14.03,13.5,13.9,16735500
13.67,13.67,2017-07-31,13.98,13.1,13.42,48964600
13.1,13.1,2017-08-01,13.775,13.07,13.77,27629900
12.65,12.65,2017-08-02,13.25,12.52,13.22,25294700
12.93,12.93,2017-08-03,13.15,11.905,12.65,61533500
13.52,13.52,2017-08-04,13.7,12.83,13.17,53080700
13.39,13.39,2017-08-07,14.06,13.24,13.86,34037700
13.02,13.02,2017-08-08,13.29,12.82,13.28,30037600
13.56,13.56,2017-08-09,13.65,12.78,12.96,26831900
13.77,13.77,2017-08-10,13.962,13.26,13.58,57716500
11.83,11.83,2017-08-11,12.34,11.77,12.0,83853200
12.6,12.6,2017-08-14,13.14,11.28,11.49,84794900
12.74,12.74,2017-08-15,13.3,12.66,13.05,43528300
13.12,13.12,2017-08-16,13.25,12.48,12.5,33264900
13.35,13.35,2017-08-17,13.5,12.95,12.95,36194300
14.01,14.01,2017-08-18,14.25,13.26,13.3,46204700
13.58,13.58,2017-08-21,14.59,13.35,14.27,44263500
14.53,14.53,2017-08-22,14.56,13.81,13.85,38183000
15.09,15.09,2017-08-23,15.13,14.38,14.55,65743100
14.53,14.53,2017-08-24,15.34,14.43,15.24,30674600
14.78,14.78,2017-08-25,14.85,14.45,14.62,23066800
15.19,15.19,2017-08-28,15.26,14.77,14.8,28019000
14.99,14.99,2017-08-29,15.31,14.88,15.05,20725600
14.96,14.96,2017-08-30,15.11,14.76,14.92,22479200
14.51,14.51,2017-08-31,15.05,14.51,14.98,23084700
14.27,14.27,2017-09-01,14.5,14.01,14.5,26055700
14.49,14.49,2017-09-05,14.57,14.08,14.28,21338900
14.5,14.5,2017-09-06,14.54,14.17,14.42,23117200
15.15,15.15,2017-09-07,15.58,14.4,14.43,45555400
15.34,15.34,2017-09-08,15.8,15.1,15.17,36588500
15.27,15.27,2017-09-11,15.57,14.889,15.25,32998900
15.13,15.13,2017-09-12,15.75,15.01,15.25,48940500
15.03,15.03,2017-09-13,15.33,14.855,15.2,24125700
14.91,14.91,2017-09-14,15.18,14.82,14.95,16333700
15.25,15.25,2017-09-15,15.31,14.93,14.99,34145900
14.92,14.92,2017-09-18,15.33,14.81,15.32,20935100
14.72,14.72,2017-09-19,14.9,14.46,14.9,23447100
14.16,14.16,2017-09-20,14.7,14.05,14.68,24856600
13.77,13.77,2017-09-21,14.11,13.51,13.99,25231700
13.7,13.7,2017-09-22,13.92,13.62,13.72,12309800
13.22,13.22,2017-09-25,13.51,13.07,13.5,18483900
13.91,13.91,2017-09-26,13.98,13.3,13.33,20062300
14.12,14.12,2017-09-27,14.25,13.825,14.0,16667600
14.45,14.45,2017-09-28,14.59,13.97,14.2,17561100
14.54,14.54,2017-09-29,14.7,14.3,14.43,20577700
14.88,14.88,2017-10-02,15.04,14.405,14.6,21212100
14.64,14.64,2017-10-03,15.1,14.59,14.87,16753800
14.53,14.53,2017-10-04,14.9,14.35,14.84,15687500
14.48,14.48,2017-10-05,14.56,14.1,14.3,13162700
14.79,14.79,2017-10-06,14.84,14.32,14.38,11941100
14.71,14.71,2017-10-09,14.92,14.67,14.81,9183300
14.34,14.34,2017-10-10,14.87,14.32,14.71,13775100
15.98,15.98,2017-10-11,15.98,14.465,14.64,40908100
16.549999,16.549999,2017-10-12,16.860001,15.82,16.07,63193100
16.5,16.5,2017-10-13,16.879999,16.219999,16.48,24513400
16.07,16.07,2017-10-16,16.73,15.91,16.68,20894900
16.09,16.09,2017-10-17,16.610001,16.049999,16.290001,15091000
15.75,15.75,2017-10-18,16.349001,15.69,16.299999,18282200
15.25,15.25,2017-10-19,15.59,15.18,15.47,19244600
15.56,15.56,2017-10-20,15.57,15.21,15.39,12877000
14.97,14.97,2017-10-23,15.69,14.89,15.58,19585400
14.59,14.59,2017-10-24,15.08,14.58,14.87,15448300
14.16,14.16,2017-10-25,14.93,13.96,14.7,22943900
14.39,14.39,2017-10-26,14.76,14.11,14.35,17071200
15.44,15.44,2017-10-27,15.48,14.22,14.27,23767600
15.68,15.68,2017-10-30,16.27,15.05,15.13,23657800
15.34,15.34,2017-10-31,15.73,15.17,15.65,13008900
14.51,14.51,2017-11-01,15.52,14.39,15.45,20443800
14.55,14.55,2017-11-02,14.87,14.4,14.45,11810500
15.27,15.27,2017-11-03,15.28,14.6,14.64,12784400
14.83,14.83,2017-11-06,15.29,14.8,15.19,17610900
15.12,15.12,2017-11-07,15.53,14.73,14.87,40978300
12.91,12.91,2017-11-08,14.09,12.1,13.47,162744700
12.38,12.38,2017-11-09,12.74,12.23,12.64,51695800
12.76,12.76,2017-11-10,12.84,12.31,12.5,32141000
12.4,12.4,2017-11-13,12.95,12.35,12.83,18950200
12.57,12.57,2017-11-14,12.7,12.25,12.41,13962600
12.46,12.46,2017-11-15,12.75,12.17,12.32,14410400
12.56,12.56,2017-11-16,12.68,12.38,12.5,15701700
12.99,12.99,2017-11-17,13.01,12.51,12.6,17563800
12.41,12.41,2017-11-20,13.11,12.29,13.1,30676100
12.34,12.34,2017-11-21,12.59,12.32,12.52,19010300
12.62,12.62,2017-11-22,12.64,12.35,12.35,14022100
12.97,12.97,2017-11-24,13.02,12.67,12.67,12772800
13.06,13.06,2017-11-27,13.38,12.86,12.87,19341800
13.61,13.61,2017-11-28,13.74,13.02,13.37,23774100
13.7,13.7,2017-11-29,13.99,13.251,13.54,30098500
13.78,13.78,2017-11-30,14.0,13.36,13.41,26855000
13.87,13.87,2017-12-01,13.9,13.41,13.67,19266900
13.57,13.57,2017-12-04,14.0,13.085,13.95,28799200
14.94,14.94,2017-12-05,15.1,14.02,14.899,51515800
14.6,14.6,2017-12-06,15.05,14.36,14.58,25883100
14.7,14.7,2017-12-07,14.77,14.28,14.65,16367100
15.07,15.07,2017-12-08,15.14,14.59,14.64,20226100
16.219999,16.219999,2017-12-11,16.305,15.07,15.435,34900100
15.93,15.93,2017-12-12,16.120001,15.53,16.0,22254300
15.96,15.96,2017-12-13,16.18,15.79,15.8,14183700
16.040001,16.040001,2017-12-14,16.450001,15.76,15.92,24942500
15.75,15.75,2017-12-15,16.040001,15.63,16.0,19450400
16.1,16.1,2017-12-18,16.370001,15.934,15.95,20227800
15.77,15.77,2017-12-19,16.040001,15.65,15.91,12419200
15.5,15.5,2017-12-20,15.89,15.47,15.69,10167300
15.37,15.37,2017-12-21,15.68,15.2,15.33,12107100
15.15,15.15,2017-12-22,15.38,14.92,15.05,12087100
15.01,15.01,2017-12-26,15.13,14.84,15.02,6755300
14.84,14.84,2017-12-27,15.05,14.83,14.83,6726200
14.85,14.85,2017-12-28,15.065,14.77,14.82,8072900
14.61,14.61,2017-12-29,14.89,14.55,14.84,9518400
14.95,14.95,2018-01-02,15.01,14.61,14.69,9971000
15.31,15.31,2018-01-03,15.38,14.72,15.0,15921400
14.59,14.59,2018-01-04,15.0,14.274,14.76,27232000
14.5,14.5,2018-01-05,14.75,14.38,14.51,18828000
14.06,14.06,2018-01-08,14.28,13.58,14.21,27033600
14.1,14.1,2018-01-09,14.28,14.01,14.15,14929100
14.65,14.65,2018-01-10,14.67,13.921,14.07,14725800
14.6,14.6,2018-01-11,14.93,14.48,14.58,12497500
14.11,14.11,2018-01-12,14.32,13.92,14.17,21011300
13.5,13.5,2018-01-16,14.11,13.4,14.11,26654400
13.52,13.52,2018-01-17,13.82,13.35,13.61,14570600
14.01,14.01,2018-01-18,14.02,13.62,13.66,16316900
14.04,14.04,2018-01-19,14.24,13.82,14.01,16123900
14.17,14.17,2018-01-22,14.2,13.67,13.92,12479700
14.25,14.25,2018-01-23,14.67,14.13,14.19,13418800
14.44,14.44,2018-01-24,14.77,14.28,14.31,11979600
13.71,13.71,2018-01-25,14.3,13.7,14.28,23551600
13.56,13.56,2018-01-26,13.79,13.43,13.75,17366200
13.47,13.47,2018-01-29,13.67,13.371,13.54,13584200
13.26,13.26,2018-01-30,13.4,13.15,13.3,12413600
13.52,13.52,2018-01-31,13.62,13.26,13.31,13587000
13.92,13.92,2018-02-01,14.0,13.4,13.43,13306000
13.71,13.71,2018-02-02,13.89,13.51,13.59,18123300
13.85,13.85,2018-02-05,14.03,13.32,13.35,20637700
14.06,14.06,2018-02-06,14.2,13.47,13.5,45110200
20.75,20.75,2018-02-07,21.219999,16.959999,17.15,232325100
19.389999,19.389999,2018-02-08,20.9,18.690001,20.74,119751700
18.799999,18.799999,2018-02-09,19.648001,18.120001,19.07,50072800
