Adj Close,Close,Date,High,Low,Open,Volume
78.917519,82.18,2017-06-01,82.209999,81.010002,81.290001,3692500
79.800995,83.099998,2017-06-02,83.129997,82.269997,82.300003,3940900
80.069878,83.379997,2017-06-05,83.5,82.720001,83.25,2824000
78.216507,81.449997,2017-06-06,83.349998,81.080002,82.75,6663800
78.226105,81.459999,2017-06-07,81.690002,80.75,81.690002,6175200
78.23571,81.470001,2017-06-08,82.040001,81.379997,81.510002,3074500
77.774765,80.989998,2017-06-09,81.620003,80.559998,81.540001,4140400
78.562218,81.809998,2017-06-12,82.589996,81.029999,81.040001,4626000
78.55262,81.800003,2017-06-13,81.889999,80.959999,81.32,3029400
79.589722,82.879997,2017-06-14,83.059998,81.699997,82.019997,4370000
79.282448,82.559998,2017-06-15,82.860001,81.239998,82.449997,5411700
75.325996,78.440002,2017-06-16,81.470001,77.349998,81.190002,14953900
76.641617,79.809998,2017-06-19,79.830002,78.059998,78.959999,7935200
75.191559,78.300003,2017-06-20,79.830002,78.129997,79.809998,4993700
75.018707,78.120003,2017-06-21,78.639999,77.720001,78.300003,4831900
73.338181,76.370003,2017-06-22,78.110001,76.32,78.110001,8004200
73.309364,76.339996,2017-06-23,76.510002,75.18,76.370003,9741200
74.452118,77.529999,2017-06-26,77.919998,76.389999,76.489998,6588700
74.192841,77.260002,2017-06-27,78.129997,77.089996,77.470001,6581100
74.029594,77.089996,2017-06-28,78.239998,76.830002,77.489998,6632000
75.258781,78.370003,2017-06-29,81.550003,76.339996,81.550003,14921400
75.201157,78.309998,2017-06-30,79.589996,77.139999,79.5,7097300
75.028305,78.129997,2017-07-03,78.800003,78.010002,78.519997,2419200
75.518066,78.639999,2017-07-05,78.959999,78.129997,78.129997,6481000
74.634583,77.720001,2017-07-06,78.470001,77.629997,78.449997,6011600
74.394516,77.470001,2017-07-07,78.139999,76.919998,77.730003,6001900
74.096817,77.160004,2017-07-10,77.589996,76.849998,77.480003,4756600
74.221657,77.290001,2017-07-11,77.519997,76.790001,76.970001,4875100
74.442513,77.519997,2017-07-12,77.970001,77.449997,77.790001,4266600
74.913078,78.010002,2017-07-13,78.480003,77.599998,77.660004,5415700
75.777344,78.910004,2017-07-14,79.07,77.699997,78.040001,7932500
76.036621,79.18,2017-07-17,79.25,78.650002,79.139999,4739400
